Rank;Name;Industry;Revenue (USD millions);Revenue growth;Employees;Headquarters
1;Walmart;Retail;648,125;6.0%;2,100,000;Bentonville, Arkansas
2;Amazon;Retail and cloud computing;574,785;11.9%;1,525,000;Seattle, Washington
3;Apple;Electronics industry;383,482;-2.8%;161;Cupertino, California
4;UnitedHealth Group;Healthcare;371,622;14.6%;440;Minnetonka, Minnesota
5;Berkshire Hathaway;Conglomerate;364,482;20.7%;396,5;Omaha, Nebraska
6;CVS Health;Healthcare;357,776;10.9%;259,5;Woonsocket, Rhode Island
7;ExxonMobil;Petroleum industry;344,582;-16.7%;61,5;Spring, Texas
8;Alphabet;Technology and cloud computing;307,394;8.7%;182,502;Mountain View, California
9;McKesson Corporation;Health;276,711;4.8%;48;Irving, Texas
10;Cencora;Pharmacy wholesale;262,173;9.9%;44;Conshohocken, Pennsylvania
11;Costco;Retail;242,29;6.8%;316;Issaquah, Washington
12;JPMorgan Chase;Financial services;239,425;54.7%;309,926;New York City, New York
13;Microsoft;Technology and cloud computing;211,915;6.9%;221;Redmond, Washington
14;Cardinal Health;Healthcare;205,012;13.0%;47,52;Dublin, Ohio
15;Chevron Corporation;Petroleum industry;200,949;-18.4%;45,6;Houston, Texas
16;Cigna;Health insurance;195,265;8.2%;71,413;Bloomfield, Connecticut
17;Ford Motor Company;Automotive industry;176,191;11.5%;177;Dearborn, Michigan
18;Bank of America;Financials;171,912;49.4%;212,985;Charlotte, North Carolina
19;General Motors;Automotive industry;171,842;9.6%;163;Detroit, Michigan
20;Elevance Health;Healthcare;171,34;9.4%;104,9;Indianapolis, Indiana
21;Citigroup;Financials;156,82;55.1%;237,925;New York City, New York
22;Centene;Healthcare;153,999;6.5%;67,7;St. Louis, Missouri
23;The Home Depot;Retail;152,669;-3.0%;463,1;Atlanta, Georgia
24;Marathon Petroleum;Petroleum industry;150,307;-16.5%;18,2;Findlay, Ohio
25;Kroger;Retail;150,039;-3.6%;414;Cincinnati, Ohio
26;Phillips 66;Petroleum industry;149,89;-14.7%;14;Houston, Texas
27;Fannie Mae;Financials;141,24;16.2%;8,1;Washington, D.C.
28;Walgreens Boots Alliance;Pharmaceutical industry;139,081;4.8%;268,5;Deerfield, Illinois
29;Valero Energy;Petroleum industry;139,001;-18.8%;9,987;San Antonio, Texas
30;Meta Platforms;Technology;134,902;15.7%;67,317;Menlo Park, California
31;Verizon Communications;Telecommunications;133,974;-2.1%;105,4;New York City, New York
32;AT&T;Conglomerate and telecommunications;122,428;1.4%;150,47;Dallas, Texas
33;Comcast;Telecommunications;121,572;0.1%;186;Philadelphia, Pennsylvania
34;Wells Fargo;Financials;115,34;39.2%;226;San Francisco, California
35;Goldman Sachs;Financials;108,418;57.8%;45,3;New York City, New York
36;Freddie Mac;Financials;108,05;24.6%;8,02;McLean, Virginia
37;Target Corporation;Retail;107,412;-1.6%;415;Minneapolis, Minnesota
38;Humana;Health insurance;106,374;14.5%;67,6;Louisville, Kentucky
39;State Farm;Financials;104,199;16.6%;65,054;Bloomington, Illinois
40;Tesla;Automotive and energy;96,773;18.8%;140,473;Austin, Texas
41;Morgan Stanley;Financials;96,194;45.9%;80,006;New York City, New York
42;Johnson & Johnson;Pharmaceutical industry;95,195;0.3%;131,9;New Brunswick, New Jersey
43;Archer Daniels Midland;Food industry;93,935;-7.5%;41,008;Chicago, Illinois
44;PepsiCo;Beverage;91,471;5.9%;318;Purchase, New York
45;United Parcel Service;Transportation;90,958;-9.3%;382,55;Atlanta, Georgia
46;FedEx;Transportation;90,155;-3.6%;446,4;Memphis, Tennessee
47;The Walt Disney Company;Media;88,898;7.5%;199,125;Burbank, California
48;Dell Technologies;Technology;88,425;-13.6%;120;Round Rock, Texas
49;Lowe's;Retail;86,377;-11.0%;226;Mooresville, North Carolina
50;Procter & Gamble;Consumer products manufacturing;82,006;2.3%;107;Cincinnati, Ohio
51;Energy Transfer Partners;Petroleum industry;78,586;-12.6%;13,786;Dallas, Texas
52;Boeing;Aerospace and defense;77,794;16.8%;171;Arlington County, Virginia
53;Albertsons;Retail;77,65;8.0%;198,65;Boise, Idaho
54;Sysco;Food service;76,325;11.2%;71,75;Houston, Texas
55;RTX Corporation;Conglomerate;68,92;2.8%;185;Arlington County, Virginia
56;General Electric;Conglomerate;67,954;-11.2%;125;Boston, Massachusetts
57;Lockheed Martin;Aerospace and defense;67,571;2.4%;122;Bethesda, Maryland
58;American Express;Financial;67,364;21.1%;74,6;New York City, New York
59;Caterpillar;Machinery;67,06;12.8%;113,2;Irving, Texas
60;MetLife;Financials;66,905;-4.3%;45;New York City, New York
61;HCA Healthcare;Healthcare;64,968;7.9%;265;Nashville, Tennessee
62;Progressive Corporation;Insurance;62,109;25.2%;61,432;Mayfield Village, Ohio
63;IBM;Technology and cloud computing;61,86;-16.3%;296,6;Armonk, New York
64;John Deere;Agriculture manufacturing;61,251;16.5%;82,956;Moline, Illinois
65;Nvidia;Technology;60,922;125.9%;29,6;Santa Clara, California
66;StoneX Group;Financials;60,856;-7.8%;4,137;New York City, New York
67;Merck & Co.;Pharmaceutical industry;60,115;1.4%;71;Kenilworth, New Jersey
68;ConocoPhillips;Petroleum industry;58,574;-28.7%;9,9;Houston, Texas
69;Pfizer;Pharmaceutical industry;58,496;-41.7%;88;New York City, New York
70;Delta Air Lines;Airline;58,048;14.8%;103;Atlanta, Georgia
71;TD Synnex;Infotech;57,555;-7.7%;28;Clearwater, Florida
72;Publix;Retail;57,534;4.7%;253;Lakeland, Florida
73;Allstate;Insurance;57,094;11.1%;53,2;Northfield Township, Cook County, Illinois
74;Cisco;Telecom hardware manufacturing;56,998;10.6%;84,9;San Jose, California
75;Nationwide Mutual Insurance Company;Financial;54,609;6.1%;24,118;Columbus, Ohio
76;Charter Communications;Telecommunications;54,607;1.1%;101,1;Stamford, Connecticut
77;AbbVie;Pharmaceutical industry;54,317;-6.4%;50;Lake Bluff, Illinois
78;New York Life Insurance Company;Insurance;54,317;14.2%;15,384;New York City, New York
79;Intel;Technology;54,228;-14.0%;124,8;Santa Clara, California
80;TJX;Retail;49,936;2.9%;329;Framingham, Massachusetts
81;Prudential Financial;Financials;53,979;-10.1%;40,366;Newark, New Jersey
82;HP;Technology;53,718;-14.5%;58;Palo Alto, California
83;United Airlines;Airline;53,717;19.5%;103,3;Chicago, Illinois
84;Performance Food Group;Food processing;53,355;13.1%;34,825;Richmond, Virginia
85;Tyson Foods;Food processing;52,788;-0.8%;139;Springdale, Arkansas
86;American Airlines;Airline;52,788;7.8%;132,1;Fort Worth, Texas
87;Liberty Mutual;Insurance;52,612;5.3%;45;Boston, Massachusetts
88;Nike;Apparel;51,217;9.6%;83,7;Beaverton, Oregon
89;Oracle Corporation;Technology;49,954;17.7%;164;Austin, Texas
90;Enterprise Products;Petroleum industry;49,715;-14.6%;7,5;Houston, Texas
91;Capital One Financial;Financials;49,484;29.0%;51,987;Richmond, Virginia
92;Plains All American Pipeline;Petroleum industry;48,712;-15.1%;4,2;Houston, Texas
93;World Kinect Corporation;Energy trading;47,711;-19.2%;5,289;Doral, Florida
94;AIG;Insurance;46,802;-17.1%;25,2;New York City, New York
95;Coca-Cola;Beverage;45,754;6.4%;79,1;Atlanta, Georgia
96;TIAA;Financials;45,735;11.8%;16,023;New York City, New York
97;CHS;Agriculture cooperative;45,59;-4.6%;10,609;Inver Grove Heights, Minnesota
98;Bristol-Myers Squibb;Pharmaceutical industry;45,006;-2.5%;34,1;New York City, New York
99;Dow Chemical Company;Chemical industry;44,622;-21.6%;35,9;Midland, Michigan
100;Best Buy;Retail;43,452;-6.1%;85;Richfield, Minnesota
